"role_name","permission"
"administrator","access administration pages"
"administrator","access all views"
"administrator","access backup and migrate"
"administrator","access backup files"
"administrator","access broken links report"
"administrator","access comments"
"administrator","access content"
"administrator","access content overview"
"administrator","access dashboard"
"administrator","access devel information"
"administrator","access global drupal wall content"
"administrator","access news feeds"
"administrator","access own broken links report"
"administrator","access printer-friendly version"
"administrator","access rules debug"
"administrator","access site in maintenance mode"
"administrator","access site reports"
"administrator","access site-wide contact form"
"administrator","access statistics"
"administrator","access toolbar"
"administrator","access user contact forms"
"administrator","access user profiles"
"administrator","add content to books"
"administrator","administer actions"
"administrator","administer addtoany"
"administrator","administer backup and migrate"
"administrator","administer blocks"
"administrator","administer book outlines"
"administrator","administer boxes"
"administrator","administer comments"
"administrator","administer contact forms"
"administrator","administer content translations"
"administrator","administer content types"
"administrator","administer contexts"
"administrator","administer dependencies"
"administrator","administer disqus"
"administrator","administer EU Cookie Compliance popup"
"administrator","administer event_registration registration"
"administrator","administer features"
"administrator","administer field collections"
"administrator","administer fieldgroups"
"administrator","administer fields"
"administrator","administer file types"
"administrator","administer files"
"administrator","administer filters"
"administrator","administer flags"
"administrator","administer flexslider"
"administrator","administer google adwords module"
"administrator","administer google analytics"
"administrator","administer group"
"administrator","administer honeypot"
"administrator","administer image styles"
"administrator","administer imce"
"administrator","administer languages"
"administrator","administer linkchecker"
"administrator","administer mailsystem"
"administrator","administer menu"
"administrator","administer module filter"
"administrator","administer modules"
"administrator","administer news feeds"
"administrator","administer newsletters"
"administrator","administer node gallery"
"administrator","administer nodes"
"administrator","administer own event_registration registration"
"administrator","administer pathauto"
"administrator","administer permissions"
"administrator","administer phpmailer settings"
"administrator","administer registration"
"administrator","administer registration states"
"administrator","administer registration types"
"administrator","administer reroute email"
"administrator","administer rules"
"administrator","administer search"
"administrator","administer sharethis"
"administrator","administer simplenews settings"
"administrator","administer simplenews subscriptions"
"administrator","administer simplify"
"administrator","administer site configuration"
"administrator","administer smtp module"
"administrator","administer software updates"
"administrator","administer statistics"
"administrator","administer string overrides"
"administrator","administer taxonomy"
"administrator","administer Terms and Conditions"
"administrator","administer themes"
"administrator","administer url aliases"
"administrator","administer user locations"
"administrator","administer users"
"administrator","administer uuid"
"administrator","administer views"
"administrator","advanced migration information"
"administrator","assign administrator role"
"administrator","assign all roles"
"administrator","assign edoovillage manager role"
"administrator","assign hub manager role"
"administrator","assign laptop manager role"
"administrator","assign team manager role"
"administrator","assign wiki writer role"
"administrator","block IP addresses"
"administrator","boost flush pages"
"administrator","bypass file access"
"administrator","bypass node access"
"administrator","bypass rules access"
"administrator","bypass user restriction rules"
